place_id,licence,osm_type,osm_id,lat,lon,class,type,place_rank,importance,addresstype,name,display_name,boundingbox
93361972,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,7503079118,47.4979542,8.7243914,amenity,cafe,30,9.99999999995449e-06,amenity,Café Archhöfe,"Café Archhöfe, 2, Archplatz, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4979042', '47.4980042', '8.7243414', '8.7244414']"
93908378,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,7503079115,47.4984097,8.7245477,amenity,fast_food,30,9.99999999995449e-06,amenity,ARCHiE Hot Dog Factory,"ARCHiE Hot Dog Factory, 2, Archplatz, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4983597', '47.4984597', '8.7244977', '8.7245977']"
92849114,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,7503079116,47.4983773,8.7239922,amenity,fast_food,30,9.99999999995449e-06,amenity,Asiaway Lounge,"Asiaway Lounge, 2, Archplatz, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4983273', '47.4984273', '8.7239422', '8.7240422']"
93361972,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,7503079118,47.4979542,8.7243914,amenity,cafe,30,9.99999999995449e-06,amenity,Café Archhöfe,"Café Archhöfe, 2, Archplatz, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4979042', '47.4980042', '8.7243414', '8.7244414']"
93908378,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,7503079115,47.4984097,8.7245477,amenity,fast_food,30,9.99999999995449e-06,amenity,ARCHiE Hot Dog Factory,"ARCHiE Hot Dog Factory, 2, Archplatz, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4983597', '47.4984597', '8.7244977', '8.7245977']"
92849114,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,7503079116,47.4983773,8.7239922,amenity,fast_food,30,9.99999999995449e-06,amenity,Asiaway Lounge,"Asiaway Lounge, 2, Archplatz, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4983273', '47.4984273', '8.7239422', '8.7240422']"
92753928,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,387228479,47.4843234,8.702599,amenity,bar,30,9.99999999995449e-06,amenity,Billabong Sport's & Music Bar,"Billabong Sport's & Music Bar, 260, Zürcherstrasse, Dättnau, Töss, Winterthur, Bezirk Winterthur, Zürich, 8406, Schweiz/Suisse/Svizzera/Svizra","['47.4842734', '47.4843734', '8.7025490', '8.7026490']"
92729953,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,7685026292,47.4992587,8.7213153,amenity,food_court,30,6.545433737692863e-05,amenity,Migros Take-Away,"Migros Take-Away, 3, Strickerstrasse, Neuwiesen, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4992087', '47.4993087', '8.7212653', '8.7213653']"
92226489,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,8874899713,47.5012179,8.7209909,amenity,restaurant,30,9.99999999995449e-06,amenity,Tayyeb Burger,"Tayyeb Burger, 25, Wartstrasse, Neuwiesen, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8401, Schweiz/Suisse/Svizzera/Svizra","['47.5011679', '47.5012679', '8.7209409', '8.7210409']"
92663634,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,8128785390,47.4980566,8.7304657,amenity,restaurant,30,6.545433737692863e-05,amenity,Jimmy's,"Jimmy's, 12, Technikumstrasse, Wildbach, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4980066', '47.4981066', '8.7304157', '8.7305157']"
93880860,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,7858249070,47.4992908,8.7266065,amenity,restaurant,30,9.99999999995449e-06,amenity,Brasserie Reh,"Brasserie Reh, 61, Marktgasse, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4992408', '47.4993408', '8.7265565', '8.7266565']"
92638387,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,2570468652,47.4943016,8.7399559,amenity,restaurant,30,9.99999999995449e-06,amenity,Al Giardino,"Al Giardino, 70, Tösstalstrasse, Deutweg, Mattenbach, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4942516', '47.4943516', '8.7399059', '8.7400059']"
93140156,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,4143671996,47.4944763,8.711754,amenity,fast_food,30,9.99999999995449e-06,amenity,Anadolu Imbiss,"Anadolu Imbiss, 59, Zürcherstrasse, Schöntal, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8406, Schweiz/Suisse/Svizzera/Svizra","['47.4944263', '47.4945263', '8.7117040', '8.7118040']"
92771616,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,412760190,47.4912979,8.7075577,amenity,restaurant,30,9.99999999995449e-06,amenity,Oliveira,"Oliveira, 3, Stationsstrasse, Eichliacker, Töss, Winterthur, Bezirk Winterthur, Zürich, 8406, Schweiz/Suisse/Svizzera/Svizra","['47.4912479', '47.4913479', '8.7075077', '8.7076077']"
92304266,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,359691092,47.500123,8.7291699,amenity,restaurant,30,6.545433737692863e-05,amenity,La Pergola,"La Pergola, 71, Stadthausstrasse, Inneres Lind, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.5000730', '47.5001730', '8.7291199', '8.7292199']"
92232131,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,2666984905,47.5038264,8.7285402,amenity,restaurant,30,9.99999999995449e-06,amenity,Bistro Gate 27,"Bistro Gate 27, 27b, Theaterstrasse, Lind, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.5037764', '47.5038764', '8.7284902', '8.7285902']"
92947691,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,7826688994,47.4937731,8.7106155,amenity,restaurant,30,9.99999999995449e-06,amenity,Industriehalle,"Industriehalle, 79, Untere Briggerstrasse, Schöntal, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8406, Schweiz/Suisse/Svizzera/Svizra","['47.4937231', '47.4938231', '8.7105655', '8.7106655']"
92718467,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,703057906,47.4988298,8.7261226,amenity,restaurant,30,9.99999999995449e-06,amenity,Zum Goldenen Horn,"Zum Goldenen Horn, 13, Neumarkt, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4987798', '47.4988798', '8.7260726', '8.7261726']"
